date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,win_by_runs,win_by_wickets,player_of_match,match_referee
10/05/2026,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,203,8,208,5,Chennai Super Kings,0,5,J Overton,DS Manohar
10/05/2026,2026,Raipur,"Shaheed Veer Narayan Singh International Stadium, Raipur",Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,166,7,167,8,Royal Challengers Bengaluru,0,2,B Kumar,Amit Sharma
11/05/2026,2026,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Delhi Capitals,Delhi Capitals,field,210,5,216,7,Delhi Capitals,0,3,M Tiwari,P Dharmani
12/05/2026,2026,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,168,5,86,10,Gujarat Titans,82,0,K Rabada,R Seth
13/05/2026,2026,Raipur,"Shaheed Veer Narayan Singh International Stadium, Raipur",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,192,4,194,4,Royal Challengers Bengaluru,0,6,V Kohli,A Kripal Singh
14/05/2026,2026,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Mumbai Indians,Mumbai Indians,field,200,8,205,4,Mumbai Indians,0,6,Tilak Varma,P Dharmani
15/05/2026,2026,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,187,5,188,3,Lucknow Super Giants,0,7,MR Marsh,DS Manohar
16/05/2026,2026,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,247,2,218,4,Kolkata Knight Riders,29,0,SP Narine,R Seth
17/05/2026,2026,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,222,4,199,8,Royal Challengers Bengaluru,23,0,VR Iyer,P Dharmani
17/05/2026,2026,Delhi,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,193,8,197,5,Delhi Capitals,0,5,MA Starc,DS Manohar
18/05/2026,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,180,7,181,5,Sunrisers Hyderabad,0,5,Ishan Kishan,A Kripal Singh
19/05/2026,2026,Jaipur,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,220,5,225,3,Rajasthan Royals,0,7,V Suryavanshi,IR Siddiqui
20/05/2026,2026,Kolkata,"Eden Gardens, Kolkata",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,147,8,148,6,Kolkata Knight Riders,0,4,MK Pandey,R Seth
21/05/2026,2026,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,229,4,140,10,Gujarat Titans,89,0,Mohammed Siraj,A Kripal Singh
22/05/2026,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,bat,255,4,200,4,Sunrisers Hyderabad,55,0,Ishan Kishan,DS Manohar
23/05/2026,2026,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Punjab Kings,field,196,6,200,3,Punjab Kings,0,7,SS Iyer,A Kripal Singh
24/05/2026,2026,Mumbai,"Wankhede Stadium, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,205,8,175,9,Rajasthan Royals,30,0,JC Archer,DS Manohar
24/05/2026,2026,Kolkata,"Eden Gardens, Kolkata",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,203,5,163,10,Delhi Capitals,40,0,Kuldeep Yadav,IR Siddiqui
26/05/2026,2026,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,254,5,162,10,Royal Challengers Bengaluru,92,0,RM Patidar,J Srinath
27/05/2026,2026,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,243,8,196,10,Rajasthan Royals,47,0,V Suryavanshi,V Narayan Kutty
29/05/2026,2026,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,214,6,219,3,Gujarat Titans,0,7,Shubman Gill,Prakash Bhatt
31/05/2026,2026,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,155,8,161,5,Royal Challengers Bengaluru,0,5,V Kohli,J Srinath
